frame,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,conf_matricula,mx1,my1,mx2,my2,texto_matricula,tiempo_yolo_s,tiempo_ocr_s
37,car,0.13,4,1259,311,1293,343,,,,,,,0.0557,0
38,car,0.54,1,1302,311,1350,362,,,,,,,0.0463,0
38,car,0.11,2,1227,317,1257,343,,,,,,,0.0463,0
38,car,0.12,4,1259,311,1294,343,,,,,,,0.0463,0
39,car,0.49,1,1302,313,1348,362,,,,,,,0.0469,0
39,car,0.11,4,1259,311,1294,343,,,,,,,0.0469,0
40,car,0.48,1,1302,314,1347,361,,,,,,,0.0469,0
40,car,0.11,4,1259,311,1293,342,,,,,,,0.0469,0
41,car,0.45,1,1302,314,1347,362,,,,,,,0.0623,0
42,car,0.51,1,1303,315,1345,360,,,,,,,0.0625,0
43,car,0.46,1,1302,316,1344,360,,,,,,,0.0448,0
44,car,0.53,1,1302,316,1342,361,,,,,,,0.0631,0
45,car,0.42,1,1300,316,1341,361,,,,,,,0.0425,0
46,car,0.38,1,1300,315,1340,361,,,,,,,0.0469,0
47,car,0.38,1,1300,313,1340,359,,,,,,,0.0522,0
48,car,0.31,1,1300,313,1339,358,,,,,,,0.0529,0
49,car,0.28,1,1298,314,1338,357,,,,,,,0.0631,0
50,car,0.27,1,1297,315,1338,357,,,,,,,0.0626,0
51,car,0.3,1,1296,316,1338,359,,,,,,,0.0551,0
52,car,0.29,1,1295,318,1337,359,,,,,,,0.0785,0
53,car,0.28,1,1294,319,1337,361,,,,,,,0.0616,0
54,car,0.22,1,1293,318,1337,362,,,,,,,0.0592,0
55,car,0.19,1,1293,314,1336,363,,,,,,,0.053,0
56,car,0.19,1,1293,313,1336,361,,,,,,,0.0511,0
57,car,0.17,1,1293,312,1336,359,,,,,,,0.0469,0
58,car,0.17,1,1292,312,1333,356,,,,,,,0.0517,0
59,car,0.19,1,1292,313,1331,355,,,,,,,0.055,0
60,car,0.23,1,1290,314,1330,356,,,,,,,0.0684,0
61,car,0.23,1,1290,315,1329,356,,,,,,,0.0408,0
62,car,0.3,1,1289,318,1328,357,,,,,,,0.0597,0
63,car,0.38,1,1289,321,1329,358,,,,,,,0.0576,0
64,car,0.41,1,1289,321,1328,358,,,,,,,0.0568,0
65,car,0.43,1,1288,319,1327,358,,,,,,,0.0685,0
66,car,0.44,1,1288,319,1326,359,0.27,1305,356,1325,358,,0.0508,1.3189
67,car,0.48,1,1287,319,1326,360,,,,,,,0.0469,0
68,car,0.46,1,1287,319,1325,359,,,,,,,0.0617,0
69,car,0.47,1,1287,320,1325,359,,,,,,,0.0514,0
